alpha,z,series_value,hybrid_value,series_is_finite,hybrid_is_finite
0.65,-73.0,-6.627303891716376e+107,0.005433847578653266,True,True
0.65,-74.0,-3.354271439159498e+108,0.005359703165399739,True,True
0.65,-75.0,-1.6610935870880698e+109,0.005287554671484614,True,True
0.65,-76.0,-8.053331637483259e+109,0.005217322582913458,True,True
0.65,-77.0,-3.824580490732768e+110,0.005148931553489591,True,True
0.65,-78.0,-1.7801253202055566e+111,0.005082310135300709,True,True
0.65,-79.0,-8.124541191159838e+111,0.00501739052985034,True,True
0.65,-80.0,-3.6378361260267932e+112,0.004954108358012542,True,True
1.35,-0.0,1.0,1.0,True,True
1.35,-1.0,0.37376386704490444,0.37376386704490444,True,True
1.35,-2.0,0.044714115339060556,0.044714115339060556,True,True
1.35,-3.0,-0.10929372032957385,-0.10929372032957385,True,True
1.35,-4.0,-0.16490724239412957,-0.16490724239412957,True,True
1.35,-5.0,-0.16899744635159308,-0.16899744635159308,True,True
1.35,-6.0,-0.1492680978762344,-0.1492680978762344,True,True
1.35,-7.0,-0.12133285661326454,-0.12133285661326454,True,True
1.35,-8.0,-0.0933722843235465,-0.0933722843235465,True,True
1.35,-9.0,-0.06914896630349432,-0.07549602574125724,True,True
1.35,-10.0,-0.04992125515324375,-0.0555340345251016,True,True
1.35,-11.0,-0.03562790360535928,-0.040680140940888745,True,True
1.35,-12.0,-0.02559755421890486,-0.030206690406837884,True,True
1.35,-13.0,-0.018954469871232504,-0.023203234647406087,True,True
1.35,-14.0,-0.01483470052710345,-0.018783472792968936,True,True
1.35,-15.0,-0.012487638540221724,-0.01618185118958696,True,True
1.35,-16.0,-0.0113112649365803,-0.014786018815810133,True,True
1.35,-17.0,-0.010851509152757899,-0.014134549394869862,True,True
1.35,-18.0,-0.010784319064669035,-0.013898015199058322,True,True
1.35,-19.0,-0.010891350972542568,-0.013854051242727726,True,True
1.35,-20.0,-0.011035298669639815,-0.013862279769303432,True,True
1.35,-21.0,-0.011137854735807196,-0.013842003075887855,True,True
1.35,-22.0,-0.011161494332554867,-0.013753804891633437,True,True
1.35,-23.0,-0.011095255395048298,-0.01358520390436075,True,True
1.35,-24.0,-0.010944165631372016,-0.013339991052633372,True,True
1.35,-25.0,-0.010721741864472278,-0.013030664137332134,True,True
1.35,-26.0,-0.010444934450788423,-0.01267332476290222,True,True
1.35,-27.0,-0.01013092874927679,-0.012284444430671055,True,True
1.35,-28.0,-0.009795297304663109,-0.01187898996524876,True,True
1.35,-29.0,-0.009451091369555797,-0.011469494552484444,True,True
1.35,-30.0,-0.00910855268011801,-0.011065753590809895,True,True
1.35,-31.0,-0.00877520768699469,-0.010674906477475855,True,True
1.35,-32.0,-0.008456174226012081,-0.010301733416928293,True,True
1.35,-33.0,-0.008154564289725386,-0.00994905018715956,True,True
1.35,-34.0,-0.00787190711707808,-0.009618124822015486,True,True
1.35,-35.0,-0.007608546933624893,-0.009309070285641157,True,True
1.35,-36.0,-0.007363991346210241,-0.009021188499522357,True,True
1.35,-37.0,-0.007137200096622109,-0.008753255484873334,True,True
1.35,-38.0,-0.00692681351210922,-0.00850374660933015,True,True
1.35,-39.0,-0.006731324014253914,-0.00827100639224062,True,True
1.35,-40.0,-0.00654920085798949,-0.008053370154885608,True,True
1.35,-41.0,-0.006378973135724664,-0.007849245868601836,True,True
1.35,-42.0,-0.006219281116500497,-0.007657164501737568,True,True
1.35,-43.0,-0.006068905349820852,-0.007475806462038262,True,True
1.35,-44.0,-0.005926776211708784,-0.0073040106988040586,True,True
1.35,-45.0,-0.005791973322629929,-0.007140771885006645,True,True
1.35,-46.0,-0.00566371064633131,-0.006985229979304419,True,True
1.35,-47.0,-0.005541330203413963,-0.006836655449811528,True,True
1.35,-48.0,-0.005424284376204014,-0.006694432563970721,True,True
1.35,-49.0,-0.005312107503414154,-0.0065580424239414375,True,True
1.35,-50.0,-0.005204422399401665,-0.00642704685000199,True,True
1.35,-51.0,-0.005100905895233154,-0.006301073771582654,True,True
1.35,-52.0,-0.00500129908323288,-0.0061798044581302045,True,True
1.35,-53.0,-0.004905354231595993,-0.006062962690155134,True,True
1.35,-54.0,-0.004812896251678467,-0.00595030581531624,True,True
1.35,-55.0,-0.0047237202525138855,-0.005841617537875283,True,True
1.35,-56.0,-0.004637673497200012,-0.005736702237318472,True,True
1.35,-57.0,-0.004554629325866699,-0.0056353805909486795,True,True
1.35,-58.0,-0.004474475979804993,-0.005537486275814877,True,True
1.35,-59.0,-0.004397034645080566,-0.005442863539698591,True,True
1.35,-60.0,-0.0043222010135650635,-0.005351365453177751,True,True
1.35,-61.0,-0.004250049591064453,-0.0052628526807957845,True,True
1.35,-62.0,-0.004180192947387695,-0.005177192636129706,True,True
1.35,-63.0,-0.004112660884857178,-0.005094258911139273,True,True
