seed,noise_level,num_sensors,num_times,alpha_est,beta_est,alpha_relative_error,beta_relative_error,final_loss
5003,0.01,4,4,1.3855704860771363,1.3552106343368475,0.0040365841138669525,0.0038597291384055037,5.204016847769522e-06
5004,0.01,4,4,1.3630734825026198,1.374166029796665,0.012265592389405838,0.01790076281234431,4.5936049301335985e-06
5000,0.05,128,8,1.3915362335255699,1.3425053217417902,0.008359589511282597,0.005551613524599948,0.00030382380762771367
5001,0.05,128,8,1.3786392378826013,1.3499559661519585,0.0009860595053612687,3.261766521602651e-05,0.0002828882251019173
5002,0.05,128,8,1.3934020506152585,1.3585692595940917,0.009711630880622149,0.006347599699327114,0.0002966802290519114
5003,0.05,128,8,1.3775153335762753,1.337578192709534,0.0018004829157424493,0.009201338733678554,0.0002617115827670758
5004,0.05,128,8,1.4301824574349187,1.4362597138164035,0.03636409959052086,0.06389608430844697,0.0002394667356371083
5000,0.05,16,6,1.3504760155232516,1.2972241785125096,0.02139419164981762,0.039093201101844804,0.0003233516319799769
5001,0.05,16,6,1.3554535863771877,1.3754955923330112,0.017787256248414623,0.018885623950378613,0.00031166695336482577
5002,0.05,16,6,1.2167701212166762,0.9569516769026502,0.11828252085748098,0.291146905998037,0.0003085100672191873
5003,0.05,16,6,1.2597075052344733,1.108466007921077,0.08716847446777291,0.17891406820660963,0.00023941474032905354
5004,0.05,16,6,1.4266571731737918,1.484435979670001,0.033809545778110094,0.09958220716296369,0.00021504168789925589
5000,0.05,8,4,1.3393158579062976,1.1131158194544892,0.0294812623867408,0.17546976336704506,0.00034775462836810265
5001,0.05,8,4,1.42757910750978,1.3853935055467117,0.03447761413752175,0.026217411516082673,0.0003183095252989277
5002,0.05,8,4,1.3230987673213421,1.235960138368648,0.0412327773033752,0.08447397157877928,0.000287337625888872
5003,0.05,8,4,1.364004746818232,1.4397913688172121,0.011590763175194186,0.06651212504978671,0.00020029766025920085
5004,0.05,8,4,1.5165824171666853,1.5286774194332007,0.09897276606281552,0.13235364402459301,0.0001654275093740358
5000,0.05,4,4,1.2684401212423473,1.1219016391282866,0.08084049185337146,0.16896174879386186,0.00021595377975686938
5001,0.05,4,4,1.3659850541624037,1.4624992849199607,0.010155757853330592,0.08333280364441528,0.0003393468879733173
5002,0.05,4,4,1.110901904822476,0.616457001346699,0.19499861969385793,0.5433651841876304,0.00028556909399637286
5003,0.05,4,4,1.4104448266332243,1.3813757756078127,0.02206146857480033,0.023241315265046348,0.00013008230998436818
5004,0.05,4,4,1.3093556350512396,1.444868614449896,0.05119156880344946,0.07027304774066355,0.00011657013904713056
