method,alpha,threshold,z,value,grad_alpha,finite_value,finite_grad
smooth,1.25,8.0,-6.9,-0.07189420111043288,-0.42309290281894774,True,True
smooth,1.25,8.0,-7.0,-0.0702597904571885,-0.41288032286140897,True,True
smooth,1.25,8.0,-7.1,-0.06866514424008724,-0.403132595492253,True,True
smooth,1.25,8.0,-7.2,-0.0671099272177402,-0.3937837437318584,True,True
smooth,1.25,8.0,-7.3,-0.06559367653121767,-0.3847747025699635,True,True
smooth,1.25,8.0,-7.4,-0.06411579658186783,-0.37605258348661674,True,True
smooth,1.25,8.0,-7.5,-0.0626755569584056,-0.3675700122655109,True,True
smooth,1.25,8.0,-7.6,-0.06127209281661744,-0.3592845330450913,True,True
smooth,1.25,8.0,-7.7,-0.05990440721203946,-0.3511580722330287,True,True
smooth,1.25,8.0,-7.8,-0.05857137496721872,-0.34315645651760746,True,True
smooth,1.25,8.0,-7.9,-0.057271747724658144,-0.3352489797614462,True,True
smooth,1.25,8.0,-8.0,-0.056004159894105995,-0.3274080140624047,True,True
smooth,1.25,8.0,-8.1,-0.054767135252789104,-0.3196086607142808,True,True
smooth,1.25,8.0,-8.2,-0.0535590939981718,-0.3118284372072154,True,True
smooth,1.25,8.0,-8.3,-0.05237836008829498,-0.3040469967756563,True,True
smooth,1.25,8.0,-8.4,-0.05122316873407778,-0.29624587733241925,True,True
smooth,1.25,8.0,-8.5,-0.05009167393341679,-0.2884082769277305,True,True
smooth,1.25,8.0,-8.6,-0.04898195595748617,-0.2805188531449133,True,True
smooth,1.25,8.0,-8.7,-0.04789202871781186,-0.2725635440870198,True,True
smooth,1.25,8.0,-8.8,-0.046819846957390825,-0.2645294088339514,True,True
smooth,1.25,8.0,-8.9,-0.04576331322177674,-0.25640448544796685,True,True
smooth,1.25,8.0,-9.0,-0.044720284576499084,-0.2481776647885735,True,True
smooth,1.25,8.0,-9.1,-0.043688579045973314,-0.23983857856282587,True,True
smooth,1.25,8.0,-9.2,-0.0426659817564078,-0.23137750018503894,True,True
smooth,1.25,8.0,-9.3,-0.0416627141239469,-0.22297155259847706,True,True
smooth,1.25,8.0,-9.4,-0.04069014935034055,-0.21480369470438793,True,True
smooth,1.25,8.0,-9.5,-0.03974775587113127,-0.20687307396446197,True,True
smooth,1.25,8.0,-9.6,-0.038834974525756794,-0.19917845012331475,True,True
smooth,1.25,8.0,-9.7,-0.0379512225098274,-0.1917182223421238,True,True
smooth,1.25,8.0,-9.8,-0.03709589702501496,-0.184490455394658,True,True
smooth,1.25,8.0,-9.9,-0.03626837864504462,-0.17749290491657893,True,True
