alpha,selected_terms,converged,work_budget_switched,adaptive_objective,reference_objective,adaptive_gradient,reference_gradient,objective_relative_error,gradient_relative_error
0.835,56,True,False,0.31549698377157154,0.31549698377157154,-0.1806485426906832,-0.1806485426906832,0.0,0.0
0.8375,56,True,False,0.3150450758032095,0.3150450758032095,-0.18087768756655365,-0.18087768756655365,0.0,0.0
0.84,56,True,False,0.31459259607147233,0.31459259607147233,-0.181105947142008,-0.181105947142008,0.0,0.0
0.8425,56,True,False,0.3141395468367425,0.3141395468367425,-0.1813332836000754,-0.1813332836000754,0.0,0.0
0.845,56,True,False,0.31368593045479964,0.31368593045479964,-0.18155965843924093,-0.18155965843924093,0.0,0.0
0.8475,56,True,False,0.31323174937853443,0.31323174937853443,-0.1817850324669621,-0.1817850324669621,0.0,0.0
0.85,56,True,False,0.3127770061596963,0.3127770061596963,-0.1820093657931814,-0.1820093657931814,0.0,0.0
0.8525,56,True,False,0.31232170345063104,0.31232170345063104,-0.1822326178240914,-0.1822326178240914,0.0,0.0
0.855,56,True,False,0.31186584400605666,0.31186584400605666,-0.182454747255834,-0.182454747255834,0.0,0.0
0.8575,56,True,False,0.3114094306848494,0.3114094306848494,-0.18267571206858868,-0.18267571206858868,0.0,0.0
0.86,56,True,False,0.3109524664518285,0.3109524664518285,-0.18289546952039082,-0.18289546952039082,0.0,0.0
0.8625,56,True,False,0.31049495437958297,0.31049495437958297,-0.1831139761415379,-0.1831139761415379,0.0,0.0
0.865,56,True,False,0.31003689765029463,0.31003689765029463,-0.18333118772883772,-0.18333118772883772,0.0,0.0
0.8674999999999999,56,True,False,0.3095782995575661,0.3095782995575661,-0.1835470593400057,-0.1835470593400057,0.0,0.0
0.87,56,True,False,0.3091191635082891,0.3091191635082891,-0.18376154528850108,-0.18376154528850108,0.0,0.0
0.8725,56,True,False,0.30865949302451845,0.30865949302451845,-0.1839745991381836,-0.1839745991381836,0.0,0.0
0.875,38,True,True,0.308199291745321,0.308199291745321,-0.1841861736983219,-0.1841861736983219,0.0,0.0
0.8775,38,True,False,0.3077385634287029,0.3077385634287029,-0.18439622101882058,-0.18439622101882058,0.0,0.0
0.88,38,True,False,0.3072773119535032,0.3072773119535032,-0.18460469238551624,-0.18460469238551624,0.0,0.0
0.8825,38,True,False,0.3068155413212878,0.3068155413212878,-0.18481153831564257,-0.18481153831564257,0.0,0.0
0.885,38,True,False,0.30635325565830973,0.30635325565830973,-0.1850167085537855,-0.1850167085537855,0.0,0.0
0.8875,38,True,False,0.30589045921743285,0.30589045921743285,-0.18522015206765907,-0.18522015206765907,0.0,0.0
0.89,38,True,False,0.30542715638006385,0.30542715638006385,-0.18542181704429517,-0.18542181704429517,0.0,0.0
0.8925,38,True,False,0.3049633516581317,0.3049633516581317,-0.18562165088652627,-0.18562165088652627,0.0,0.0
0.895,38,True,False,0.30449904969604275,0.30449904969604275,-0.18581960020956956,-0.18581960020956956,0.0,0.0
0.8975,38,True,False,0.30403425527264294,0.30403425527264294,-0.18601561083779927,-0.18601561083779927,0.0,0.0
0.9,38,True,False,0.3035689733032196,0.3035689733032196,-0.18620962780203243,-0.18620962780203243,0.0,0.0
0.9025,38,True,False,0.3031032088414707,0.3031032088414707,-0.18640159533677902,-0.18640159533677902,0.0,0.0
0.905,38,True,False,0.30263696708150656,0.30263696708150656,-0.18659145687786172,-0.18659145687786172,0.0,0.0
0.9075,38,True,False,0.302170253359856,0.302170253359856,-0.1867791550604352,-0.1867791550604352,0.0,0.0
0.91,38,True,False,0.3017030731574524,0.3017030731574524,-0.18696463171701794,-0.18696463171701794,0.0,0.0
0.9125,38,True,False,0.30123543210166215,0.30123543210166215,-0.18714782787603923,-0.18714782787603923,0.0,0.0
0.915,38,True,False,0.30076733596828054,0.30076733596828054,-0.18732868376055833,-0.18732868376055833,0.0,0.0
0.9175,38,True,False,0.30029879068355264,0.30029879068355264,-0.18750713878731595,-0.18750713878731595,0.0,0.0
0.92,38,True,False,0.29982980232619644,0.29982980232619644,-0.18768313156609828,-0.18768313156609828,0.0,0.0
0.9225,38,True,False,0.29936037712940583,0.29936037712940583,-0.18785659989939596,-0.18785659989939596,0.0,0.0
0.925,38,True,False,0.2988905214828844,0.2988905214828844,-0.18802748078239517,-0.18802748078239517,0.0,0.0
0.9275,38,True,False,0.2984202419348561,0.2984202419348561,-0.1881957104033205,-0.1881957104033205,0.0,0.0
0.9299999999999999,38,True,False,0.29794954519407846,0.29794954519407846,-0.1883612241439998,-0.1883612241439998,0.0,0.0
0.9325,38,True,False,0.29747843813186425,0.29747843813186425,-0.1885239565809691,-0.1885239565809691,0.0,0.0
0.9349999999999999,38,True,False,0.29700692778409316,0.29700692778409316,-0.18868384148674622,-0.18868384148674622,0.0,0.0
0.9375,38,True,False,0.2965350213532106,0.2965350213532106,-0.18884081183148282,-0.18884081183148282,0.0,0.0
0.94,38,True,False,0.2960627262102403,0.2960627262102403,-0.18899479978510847,-0.18899479978510847,0.0,0.0
0.9425,38,True,False,0.29559004989678056,0.29559004989678056,-0.18914573671967538,-0.18914573671967538,0.0,0.0
0.945,38,True,False,0.29511700012698944,0.29511700012698944,-0.1892935532121678,-0.1892935532121678,0.0,0.0
0.9475,38,True,False,0.2946435847895776,0.2946435847895776,-0.18943817904768956,-0.18943817904768956,0.0,0.0
0.95,38,True,False,0.2941698119497779,0.2941698119497779,-0.18957954322301607,-0.18957954322301607,0.0,0.0
0.9525,38,True,False,0.2936956898513131,0.2936956898513131,-0.1897175739504835,-0.1897175739504835,0.0,0.0
0.955,38,True,False,0.2932212269183486,0.2932212269183486,-0.18985219866239156,-0.18985219866239156,0.0,0.0
0.9575,38,True,False,0.29274643175744514,0.29274643175744514,-0.18998334401574368,-0.18998334401574368,0.0,0.0
0.96,38,True,False,0.2922713131594771,0.2922713131594771,-0.19011093589731942,-0.19011093589731942,0.0,0.0
0.9625,38,True,False,0.2917958801015644,0.2917958801015644,-0.19023489942928862,-0.19023489942928862,0.0,0.0
0.965,38,True,False,0.2913201417489665,0.2913201417489665,-0.1903551589751693,-0.1903551589751693,0.0,0.0
0.9675,38,True,False,0.29084410745697875,0.29084410745697875,-0.19047163814620838,-0.19047163814620838,0.0,0.0
0.97,38,True,False,0.29036778677280384,0.29036778677280384,-0.19058425980822058,-0.19058425980822058,0.0,0.0
0.9725,38,True,False,0.2898911894374002,0.2898911894374002,-0.19069294608878806,-0.19069294608878806,0.0,0.0
0.975,38,True,False,0.28941432538732653,0.28941432538732653,-0.19079761838495823,-0.19079761838495823,0.0,0.0
0.9775,38,True,False,0.28893720475654844,0.28893720475654844,-0.19089819737132263,-0.19089819737132263,0.0,0.0
0.98,38,True,False,0.28845983787824186,0.28845983787824186,-0.19099460300860116,-0.19099460300860116,0.0,0.0
