experiment,time_h,depth_m,temperature_k,inflow_1e-5_kg_s,inlet_temperature_k,column_height_m,vwc
1,0.38333333333333336,0.03,299.15,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.06,298.15,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.09,297.4,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.12,297.9,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.15,297.9,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.18,297.9,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.21,297.9,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.24,318.15,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.27,350.9,8.33,423.15,0.3,0.0
1,0.38333333333333336,0.3,359.9,8.33,423.15,0.3,0.0
1,0.4,0.03,298.9,8.33,423.15,0.3,0.0
1,0.4,0.06,298.15,8.33,423.15,0.3,0.0
1,0.4,0.09,297.65,8.33,423.15,0.3,0.0
1,0.4,0.12,298.15,8.33,423.15,0.3,0.0
1,0.4,0.15,298.15,8.33,423.15,0.3,0.0
1,0.4,0.18,297.9,8.33,423.15,0.3,0.0
1,0.4,0.21,298.15,8.33,423.15,0.3,0.0
1,0.4,0.24,320.9,8.33,423.15,0.3,0.0
1,0.4,0.27,351.4,8.33,423.15,0.3,0.0
1,0.4,0.3,360.4,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.03,298.9,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.06,297.9,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.09,297.4,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.12,297.65,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.15,297.9,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.18,298.15,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.21,298.15,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.24,322.65,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.27,352.4,8.33,423.15,0.3,0.0
1,0.4166666666666667,0.3,361.65,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.03,298.9,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.06,298.15,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.09,297.65,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.12,297.9,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.15,298.15,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.18,297.65,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.21,298.4,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.24,326.15,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.27,353.65,8.33,423.15,0.3,0.0
1,0.43333333333333335,0.3,361.65,8.33,423.15,0.3,0.0
1,0.45,0.03,298.4,8.33,423.15,0.3,0.0
1,0.45,0.06,298.15,8.33,423.15,0.3,0.0
1,0.45,0.09,298.15,8.33,423.15,0.3,0.0
1,0.45,0.12,297.9,8.33,423.15,0.3,0.0
1,0.45,0.15,298.15,8.33,423.15,0.3,0.0
1,0.45,0.18,297.65,8.33,423.15,0.3,0.0
1,0.45,0.21,298.65,8.33,423.15,0.3,0.0
1,0.45,0.24,328.15,8.33,423.15,0.3,0.0
1,0.45,0.27,354.9,8.33,423.15,0.3,0.0
1,0.45,0.3,362.9,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.03,298.9,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.06,298.4,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.09,297.9,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.12,297.65,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.15,298.4,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.18,297.9,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.21,298.4,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.24,330.4,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.27,355.4,8.33,423.15,0.3,0.0
1,0.4666666666666667,0.3,362.4,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.03,298.4,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.06,298.15,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.09,297.65,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.12,298.15,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.15,298.15,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.18,298.15,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.21,298.65,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.24,331.9,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.27,356.4,8.33,423.15,0.3,0.0
1,0.48333333333333334,0.3,362.9,8.33,423.15,0.3,0.0
1,0.5,0.03,298.9,8.33,423.15,0.3,0.0
1,0.5,0.06,297.9,8.33,423.15,0.3,0.0
1,0.5,0.09,297.4,8.33,423.15,0.3,0.0
1,0.5,0.12,297.9,8.33,423.15,0.3,0.0
1,0.5,0.15,298.15,8.33,423.15,0.3,0.0
1,0.5,0.18,297.65,8.33,423.15,0.3,0.0
1,0.5,0.21,298.65,8.33,423.15,0.3,0.0
1,0.5,0.24,334.9,8.33,423.15,0.3,0.0
1,0.5,0.27,356.65,8.33,423.15,0.3,0.0
1,0.5,0.3,363.65,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.03,298.65,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.06,298.15,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.09,298.15,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.12,297.4,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.15,297.9,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.18,298.15,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.21,298.65,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.24,336.9,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.27,357.4,8.33,423.15,0.3,0.0
1,0.5166666666666667,0.3,363.9,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.03,298.9,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.06,298.4,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.09,297.9,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.12,298.15,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.15,298.15,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.18,297.9,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.21,298.9,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.24,338.15,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.27,357.9,8.33,423.15,0.3,0.0
1,0.5333333333333333,0.3,364.4,8.33,423.15,0.3,0.0
1,0.55,0.03,298.4,8.33,423.15,0.3,0.0
1,0.55,0.06,298.15,8.33,423.15,0.3,0.0
1,0.55,0.09,297.65,8.33,423.15,0.3,0.0
1,0.55,0.12,298.15,8.33,423.15,0.3,0.0
1,0.55,0.15,298.4,8.33,423.15,0.3,0.0
1,0.55,0.18,298.15,8.33,423.15,0.3,0.0
1,0.55,0.21,298.9,8.33,423.15,0.3,0.0
1,0.55,0.24,339.9,8.33,423.15,0.3,0.0
1,0.55,0.27,358.9,8.33,423.15,0.3,0.0
